[2024-12-15T15:53:22.705-0500] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: daily_price_volume_etl.fetch_raw_data manual__2024-12-15T20:29:32.493974+00:00 [queued]>
[2024-12-15T15:53:22.747-0500] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: daily_price_volume_etl.fetch_raw_data manual__2024-12-15T20:29:32.493974+00:00 [queued]>
[2024-12-15T15:53:22.748-0500] {taskinstance.py:1361} INFO - Starting attempt 2 of 4
[2024-12-15T15:53:22.755-0500] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_raw_data> on 2024-12-15 20:29:32.493974+00:00
[2024-12-15T15:53:22.759-0500] {standard_task_runner.py:57} INFO - Started process 699 to run task
[2024-12-15T15:53:22.763-0500] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'daily_price_volume_etl', 'fetch_raw_data', 'manual__2024-12-15T20:29:32.493974+00:00', '--job-id', '441', '--raw', '--subdir', 'DAGS_FOLDER/etl_dag.py', '--cfg-path', '/tmp/tmp9flfol6e']
[2024-12-15T15:53:22.766-0500] {standard_task_runner.py:85} INFO - Job 441: Subtask fetch_raw_data
[2024-12-15T15:53:22.806-0500] {task_command.py:416} INFO - Running <TaskInstance: daily_price_volume_etl.fetch_raw_data manual__2024-12-15T20:29:32.493974+00:00 [running]> on host 1e0c6de054af
[2024-12-15T15:53:22.955-0500] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='daily_price_volume_etl' AIRFLOW_CTX_TASK_ID='fetch_raw_data' AIRFLOW_CTX_EXECUTION_DATE='2024-12-15T20:29:32.493974+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-15T20:29:32.493974+00:00'
[2024-12-15T15:53:40.571-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/LRCX?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:40.766-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:40.967-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/WDC?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:40.968-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/BRO?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:40.970-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/CAH?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:40.971-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/NSC?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:40.972-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/VZ?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:41.069-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/HSY?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:41.071-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/DHR?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:41.171-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query2.finance.yahoo.com/v8/finance/chart/CBOE?period1=1702184400&period2=1733806800&interval=1d&includePrePost=False&events=div%2Csplits%2CcapitalGains&crumb=vwht5iM4wl1; filling limiter bucket
[2024-12-15T15:53:46.470-0500] {requests_ratelimiter.py:124} INFO - Rate limit exceeded for https://query1.finance.yahoo.com/v1/test/getcrumb; filling limiter bucket
